Symbol,Company Name (EN),Company Name (TH),Industry,Sector,Stakeholder 1,Share % 1,Stakeholder 2,Share % 2,Stakeholder 3,Share % 3,Stakeholder 4,Share % 4,Stakeholder 5,Share % 5
PTTGC,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),INDUS,PETRO,บริษัท  ปตท. จำกัด (มหาชน),45.18,Thai NVDR Company Limited,5.28,กองทุนรวม  วายุภักษ์หนึ่ง,3.36,บริษัท  สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,3.0,STATE STREET EUROPE LIMITED,2.53
RATCH,RATCH GROUP PUBLIC COMPANY LIMITED,บริษัท ราช กรุ๊ป จำกัด (มหาชน),RESOURC,ENERG,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,45.0,ELECTRICITY GENERATING AUTHORITY OF THAILAND SAVING AND CREDIT COOPERATIVE LIMITED,6.19,SOCIAL SECURITY OFFICE,4.68,Thai NVDR Company Limited,3.77,MR. PRATEEP TANGMATITHAM,1.26
SAWAD,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),FINCIAL,FIN,น.ส. ธิดา แก้วบุตตา,16.18,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,11.74,น.ส. ดวงใจ แก้วบุตตา,8.14,Thai NVDR Company Limited,6.21,MRS. JARIYA KAEOBUTTA,5.94
SCB,SCB X PUBLIC COMPANY LIMITED,บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน),FINCIAL,BANK,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,23.58,กองทุนรวม  วายุภักษ์หนึ่ง,23.32,Thai NVDR Company Limited,5.41,SOCIAL SECURITY OFFICE,3.06,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.04
SCC,THE SIAM CEMENT PUBLIC COMPANY LIMITED,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),PROPCON,CONMAT,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,33.64,Thai NVDR Company Limited,7.66,SOCIAL SECURITY OFFICE,5.59,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.16,STATE STREET EUROPE LIMITED,1.8
SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),INDUS,PKG,THE SIAM CEMENT PUBLIC COMPANY LIMITED,72.12,Thai NVDR Company Limited,2.32,SOCIAL SECURITY OFFICE,1.81,กองทุนรวม  วายุภักษ์หนึ่ง,1.8,บริษัท  ทุนลดาวัลย์ จำกัด,1.75
TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED,บริษัท ทุนธนชาต จำกัด (มหาชน),FINCIAL,BANK,MBK PUBLIC COMPANY LIMITED,24.9,Thai NVDR Company Limited,8.03,MR. SOMCHAI LIMTHILAKUN,2.55,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.43,DBS BANK LTD. AC DBS NOMINEES-PB CLIENTS,1.95
TIDLOR,TIDLOR HOLDINGS PUBLIC COMPANY LIMITED,บริษัท ติดล้อ โฮลดิ้งส์ จำกัด (มหาชน),FINCIAL,FIN,ธนาคาร  กรุงศรีอยุธยา จำกัด (มหาชน),46.51,Thai NVDR Company Limited,6.56,กองทุนรวม  วายุภักษ์หนึ่ง,3.39,9 BASIL PTE. LTD.,3.08,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.03
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),FINCIAL,BANK,Thai NVDR Company Limited,11.96,CDIB & PARTNERS INVESTMENT HOLDING PTE.LTD.,10.0,TOKYO CENTURY CORPORATION,4.93,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.28,บริษัท  ทุนธนชาต จำกัด (มหาชน),1.68
TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,บริษัท ไทยประกันชีวิต จำกัด (มหาชน),FINCIAL,INSUR,บริษัท  วี.ซี.สมบัติ จำกัด,50.81,N.C.B.TRUST LIMITED-CBNA LDN MEIJI YASUDA LIFE G-A 091,17.0,HER SING (H.K.) LIMITED,5.6,BNP PARIBAS SINGAPORE BRANCH,1.93,กองทุนรวม  วายุภักษ์หนึ่ง,1.77
TOP,THAI OIL PUBLIC COMPANY LIMITED,บริษัท ไทยออยล์ จำกัด (มหาชน),RESOURC,ENERG,บริษัท  ปตท. จำกัด (มหาชน),45.03,Thai NVDR Company Limited,11.51,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.37,บริษัท  สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,2.97,THE BANK OF NEW YORK MELLON,2.09
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน),TECH,ICT,Arise Digital Technology Company Limited,24.95,Thai NVDR Company Limited,11.87,บริษัท  ซีพีเอช เทลโค จำกัด,10.69,บริษัท  เครือเจริญโภคภัณฑ์ จำกัด,9.04,CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED,7.81
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),FINCIAL,BANK,บริษัท  ทุนธนชาต จำกัด (มหาชน),24.37,ING BANK N.V.,21.69,กระทรวงการคลัง,11.65,ธนาคาร  ทหารไทยธนชาต จำกัด (มหาชน),5.93,Thai NVDR Company Limited,5.68
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),AGRO,FOOD,บริษัท  ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),9.4,Thai NVDR Company Limited,8.66,MR. Thiraphong Chansiri,5.74,"MITSUBISHI UFJ MORGAN STANLEY SECURITIES CO.,LTD.",5.61,นาย เชง นิรุตตินานนท์,4.71
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน),PROPCON,PROP,MISS JAREEPORN JARUKORNSAKUL,23.49,MISS CHATCHAMOL ANANTAPRAYOON,9.07,Thai NVDR Company Limited,7.17,นาย นิติ โอสถานุเคราะห์,4.6,นาย ชัยวัฒน์ พู่พิสุทธิ์,4.55
